time	r_pcm	vr_pcm	fi_n	fi_v	snr_so	so_r_pcm	so_vr_pcm	so_fi_n_pcm	so_fi_v_pcm	z_r	z_vr	z_fi_n	z_fi_v
5.9592	924210.1826	5119.628906	2.77046591	0.347941634	17.23394604	9.954046457	-7.89642334	0.065840654	0.013427734	924200.2286	5127.52533	2.704625257	0.334513899
6.0138	923910.3901	5119.628906	2.768697654	0.363837653	16.12359948	-8.978159549	-5.836486816	-0.02336459	0.046418848	923919.3683	5125.465393	2.792062244	0.317418806
6.0684	923635.5804	5119.628906	2.77400243	0.379733701	16.12359948	7.611917879	-4.119873047	0.027976749	0.053164841	923627.9685	5123.748779	2.74602568	0.32656886
6.123	923360.7706	5119.628906	2.775770693	0.393863546	16.12359948	5.660144064	-3.776550293	-0.07064614	-0.022775751	923355.1105	5123.405457	2.846416833	0.416639297
6.1776	923085.9609	5119.628906	2.782843775	0.413292121	16.12359948	21.0791572	-2.403259277	-0.025988273	-0.058433141	923064.8817	5122.032166	2.808832048	0.471725263
6.2322	922786.1684	5119.628906	2.789916898	0.438019469	17.03874929	-3.708370249	-2.746582031	0.069486195	-0.034211813	922789.8768	5122.375488	2.720430703	0.472231282
6.2868	922511.3587	5119.628906	2.786380331	0.46098065	18.06179974	4.098725012	1.029968262	-0.005302602	0.000674599	922507.26	5118.598938	2.791682933	0.460306051
6.3414	922236.5489	5108.642578	2.791685186	0.480409399	14.53997456	11.51546551	-8.583068848	-0.065730183	-0.004657946	922225.0335	5117.225647	2.857415369	0.485067345
6.396	921936.7565	5108.642578	2.798758363	0.499838204	13.62482475	-7.80709526	-6.523132324	0.050098546	-0.020880449	921944.5636	5115.16571	2.748659816	0.520718652
6.4506	921661.9467	5108.642578	2.798758363	0.521033329	17.23394604	-5.464966682	-6.866455078	0.015659246	-0.04031533	921667.4117	5115.509033	2.783099117	0.561348659
6.5052	921387.137	5108.642578	2.798758363	0.543994795	20.56057447	4.684257156	-5.149841309	0.010467115	-0.072021503	921382.4527	5113.792419	2.788291248	0.616016298
6.5598	921112.3272	5108.642578	2.800526664	0.577554019	20.56057447	15.22383576	-3.776550293	-0.036344919	0.026919717	921097.1034	5112.419128	2.836871583	0.550634302
6.6144	920812.5347	5108.642578	2.809368208	0.593450562	23.16724984	-2.342128578	-2.403259277	0.042006552	0.00639263	920814.8769	5111.045837	2.767361656	0.587057933
6.669	920537.725	5108.642578	2.805831583	0.612879732	23.16724984	1.756596434	1.029968262	0.014968803	0.056569962	920535.9684	5107.61261	2.790862779	0.556309771
6.7236	920262.9152	5108.642578	2.807599894	0.621711197	22.14419939	8.782982168	1.373291016	-0.033251734	-0.007966694	920254.1323	5107.269287	2.840851628	0.629677891
6.7782	919963.1228	5108.642578	2.814673167	0.64114047	19.64542466	-10.92993336	3.776550293	-0.020464729	0.007741828	919974.0527	5104.866028	2.835137897	0.633398642
6.8328	919688.313	5097.65625	2.81997815	0.660569818	21.58362492	-10.92993336	-6.17980957	-0.105969243	0.069804962	919699.243	5103.83606	2.925947394	0.590764856
6.8874	919413.5033	5097.65625	2.837661602	0.667635053	18.06179974	0.975886908	-5.149841309	0.095584966	-0.000931589	919412.5274	5102.806091	2.742076636	0.668566643
6.9396	919138.6935	5097.65625	2.832356538	0.685298188	16.12359948	-9.563691694	-5.149841309	0.002430359	0.117830058	919148.2572	5102.806091	2.829926179	0.567468129
6.9942	918863.8838	5097.65625	2.835893245	0.694129779	18.06179974	-0.585532145	-2.746582031	0.001436121	0.016447369	918864.4693	5100.402832	2.834457123	0.677682411
7.0488	918589.074	5097.65625	2.841198325	0.70826036	15.29574578	3.122838104	1.029968262	-0.079456199	0.130518976	918585.9512	5096.626282	2.920654524	0.577741384
7.1034	918289.2816	5097.65625	2.848271803	0.717091995	13.62482475	-24.39717269	3.089904785	-0.069872843	-0.157663645	918313.6787	5094.566345	2.918144646	0.87475564
7.158	918014.4718	5097.65625	2.857113711	0.743587003	17.03874929	-8.197450023	2.403259277	-0.100528544	0.085063765	918022.6693	5095.252991	2.957642256	0.658523238
7.2126	917739.6621	5097.65625	2.869492498	0.750652365	20.56057447	5.269789301	3.089904785	-0.016763955	0.014455695	917734.3923	5094.566345	2.886256453	0.73619667
7.2672	917464.8523	5086.669922	2.87656615	0.766549471	20.56057447	12.49135242	-6.866455078	-0.012759386	-0.021298058	917452.3609	5093.536377	2.889325536	0.787847529
7.3218	917165.0598	5086.669922	2.883639847	0.785979348	24.08239965	-7.026385734	-4.119873047	0.032865086	-0.023386103	917172.0862	5090.789795	2.850774761	0.809365451
7.3764	916890.2501	5086.669922	2.881871419	0.808942047	27.27641651	-4.489079775	-3.433227539	0.028059602	-0.004111842	916894.7392	5090.103149	2.853811816	0.813053889
7.431	916615.4403	5086.669922	2.881871419	0.828372124	26.3612667	2.146951197	-2.403259277	0.029109076	0.01577277	916613.2934	5089.073181	2.852762343	0.812599354
